Downloaded from wid.world on 22-05-2017 at 14:57:30
Percentile;Year;"sfiinc_z_GB
Fiscal income
Top 1% | share
United Kingdom";"sfiinc_z_US
Fiscal income
Top 1% | share
USA";"sfiinc_z_DE
Fiscal income
Top 1% | share
Germany";"sfiinc_z_FR
Fiscal income
Top 1% | share
France";"sfiinc_z_JP
Fiscal income
Top 1% | share
Japan"
p99p100;1886;;;;;0.19136
p99p100;1887;;;;;0.19894
p99p100;1888;;;;;0.17674
p99p100;1889;;;;;0.16072
p99p100;1890;;;;;0.1433
p99p100;1891;;;0.172778842607;;0.13189
p99p100;1892;;;0.168117137107;;0.14448
p99p100;1893;;;0.165876638962;;0.14267
p99p100;1894;;;0.165909348533;;0.13398
p99p100;1895;;;0.167740962604;;0.12816
p99p100;1896;;;0.171555475096;;0.1323
p99p100;1897;;;0.176371655088;;0.12162
p99p100;1898;;;0.18111998007;;0.13569
p99p100;1899;;;0.184937820319;;0.1572
p99p100;1900;;;0.186307326906;0.218738093972;0.16255
p99p100;1901;;;0.182912159804;;0.16932
p99p100;1902;;;0.177809217307;;0.17991
p99p100;1903;;;0.176286511219;;0.17551
p99p100;1904;;;0.178092085402;;0.16582
p99p100;1905;;;0.182213879496;;0.18066
p99p100;1906;;;0.181426233743;;0.18115
p99p100;1907;;;0.179566939472;;0.18255
p99p100;1908;;;0.173580579209;;0.18934
p99p100;1909;;;0.171519456924;;0.18743
p99p100;1910;;;0.172376073401;0.227368503809;0.18878
p99p100;1911;;;0.174831603163;;0.17993
p99p100;1912;;;0.175215067723;;0.17913
p99p100;1913;;0.179600418619;0.177680017426;;0.17453
p99p100;1914;;0.181579410592;0.177830629536;;0.18552
p99p100;1915;;0.175777221153;0.195290584354;0.195433393121;0.19602
p99p100;1916;;0.193107557886;0.213169678077;0.226346999407;0.19522
p99p100;1917;;0.177371481003;0.224184628845;0.223225206137;0.18684
p99p100;1918;0.1924;0.159614726616;0.221981243495;0.196402698755;0.16623
p99p100;1919;0.1959;0.16410778328;0.194693455304;0.204753100872;0.15251
p99p100;1920;;0.148298193663;;0.19444450736;0.17087
p99p100;1921;;0.156379158846;;0.184552997351;0.18484
p99p100;1922;;0.170576284171;;0.203769102693;0.19551
p99p100;1923;;0.156424930908;;0.227803900838;0.19723
p99p100;1924;;0.174230802678;;0.209407404065;0.19718
p99p100;1925;;0.202445048547;0.113;0.201541304588;0.18318
p99p100;1926;;0.199090513898;0.113;0.196666300297;0.18547
p99p100;1927;;0.210250338807;0.115;0.205385103822;0.17894
p99p100;1928;;0.239402495054;0.112;0.20662330091;0.18509
p99p100;1929;;0.223528835846;0.111;0.192762807012;0.18354
p99p100;1930;;0.172232731404;;0.160767301917;0.16783
p99p100;1931;;0.154984587567;;0.152732595801;0.17378
p99p100;1932;;0.155559300463;0.114;0.157348096371;0.1756
p99p100;1933;;0.1646008735;0.109;0.166456595063;0.18276
p99p100;1934;;0.163969890694;0.113;0.164006903768;0.1896
p99p100;1935;;0.166762851634;0.12;0.173436492682;0.18741
p99p100;1936;;0.192882441802;0.137;0.160102292895;0.18676
p99p100;1937;0.1698;0.171493416031;0.15;0.161912202835;0.19264
p99p100;1938;;0.157549231801;0.163;0.149126693606;0.19922
p99p100;1939;;0.161754574195;;0.151948302984;0.17949
p99p100;1940;;0.164780737294;;0.155675798655;0.16452
p99p100;1941;;0.157855670242;;0.152813106775;0.16674
p99p100;1942;;0.134286683209;;0.140142694116;0.1511
p99p100;1943;;0.123094742709;;0.106232002378;0.13625
p99p100;1944;;0.112809343372;;0.0899460986257;0.10739
p99p100;1945;;0.125157910937;;0.0756430998445;0.06427
p99p100;1946;;0.132770525333;;0.0927224978805;
p99p100;1947;;0.119550552032;;0.0964400991797;0.07377
p99p100;1948;;0.12242600017;;0.0873458981514;0.07836
p99p100;1949;0.1147;0.117269600807;;0.0899927988648;0.07938
p99p100;1950;;0.1281953504;0.118;0.0909778997302;0.07714
p99p100;1951;0.1089;0.117871051449;;0.0988328009844;0.08048
p99p100;1952;0.102;0.107908759855;;0.103419601917;0.08669
p99p100;1953;0.0972;0.0990188503534;;0.101617403328;0.08245
p99p100;1954;0.0967;0.107735618042;;0.105679102242;0.07963
p99p100;1955;0.093;0.110575455201;;0.10770290345;0.07648
p99p100;1956;0.0875;0.106720817133;;0.0991190001369;0.08192
p99p100;1957;0.087;0.10160969513;0.113;0.106987297535;0.08572
p99p100;1958;0.0876;0.102057454536;;0.0888532996178;0.08667
p99p100;1959;0.086;0.106474446066;;0.107552103698;0.09054
